City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
193,mount gambier,-37.8333,140.7667,64.4,59,90,19.57,AU,1612674987
194,markivka,49.5229,39.5705,11.23,84,57,12.19,UA,1612675090
195,rochegda,62.8,43.25,-18.31,85,58,8.14,RU,1612675090
196,touros,-5.1989,-35.4608,73.4,94,20,3.44,BR,1612674994
197,gao,16.6362,1.637,70.29,20,100,11.34,ML,1612675091
198,kendal,54.3268,-2.7476,37.0,97,33,5.99,GB,1612674793
199,tiksi,71.6872,128.8694,-25.28,85,100,6.31,RU,1612674936
200,chokurdakh,70.6333,147.9167,-26.12,84,48,5.53,RU,1612674967
201,bandarbeyla,9.4942,50.8122,77.49,72,17,14.05,SO,1612675004
202,chioggia,45.2256,12.2889,50.0,100,75,5.75,IT,1612675092
203,swan hill,-35.3378,143.5544,80.71,28,17,12.71,AU,1612674971
204,edmonds,47.8107,-122.3774,45.0,76,90,4.61,US,1612675093
205,yatou,37.15,122.3833,36.32,72,0,19.62,CN,1612675048
206,jutai,-5.1833,-68.9,74.28,92,89,2.21,BR,1612675094
207,baiquan,47.5833,126.0833,-0.67,88,2,7.49,CN,1612675094
208,san patricio,28.017,-97.5169,60.8,72,1,16.11,US,1612674757
209,upernavik,72.7868,-56.1549,19.85,78,35,7.05,GL,1612674966
210,tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,17.27,CA,1612674933
211,balkanabat,39.5108,54.3671,53.71,45,92,5.06,TM,1612675095
212,la seyne-sur-mer,43.0982,5.8847,54.0,95,75,1.99,FR,1612675096
213,neuquen,-38.9516,-68.0591,64.4,68,0,18.41,AR,1612674919
214,carnarvon,-24.8667,113.6333,86.0,100,40,12.66,AU,1612674749
215,kurchum,48.5722,83.6542,29.14,95,100,19.6,KZ,1612674829
216,tanabe,33.7333,135.3667,60.8,44,20,17.27,JP,1612675097
217,tateyama,34.9833,139.8667,60.8,41,20,11.5,JP,1612675024
218,emerald,-23.5333,148.1667,100.99,32,40,11.5,AU,1612675102
219,puerto rico,-26.796,-55.024,60.62,90,0,1.39,AR,1612675102
220,alexandria,31.2156,29.9553,55.4,94,0,4.61,EG,1612675083
221,semnan,35.5729,53.3971,51.67,60,99,1.34,IR,1612675103
222,fortuna,40.5982,-124.1573,48.0,100,90,5.75,US,1612674998
223,tuy hoa,13.0833,109.3,75.69,81,92,10.25,VN,1612675104
224,monrovia,6.3005,-10.7969,75.2,94,40,4.38,LR,1612674968
225,bilibino,68.0546,166.4372,-4.9,76,0,3.22,RU,1612675041
226,klaksvik,62.2266,-6.589,33.8,80,75,17.27,FO,1612675105
227,baruun-urt,46.6806,113.2792,-0.8,87,1,10.31,MN,1612675106
228,krasnoselkup,65.7,82.4667,-8.81,89,100,14.43,RU,1612675106
229,tuatapere,-46.1333,167.6833,67.93,58,6,8.21,NZ,1612675106
230,katsuura,35.1333,140.3,63.0,39,0,11.5,JP,1612674947
231,northam,51.0333,-4.2167,39.99,88,84,11.99,GB,1612675111
232,wajir,1.7471,40.0573,75.0,73,1,11.25,KE,1612675112
233,mugur-aksy,50.35,90.5,15.19,89,0,7.4,RU,1612675112
234,ejido hermosillo,32.5121,-114.9238,64.4,29,1,1.59,MX,1612675113
235,aksu,41.1231,80.2644,40.95,52,100,0.4,CN,1612674983
236,copiapo,-27.3667,-70.3333,60.8,77,90,6.91,CL,1612674984
237,pangnirtung,66.1451,-65.7125,22.05,79,70,2.77,CA,1612674933
238,yumen,40.2833,97.2,40.32,45,100,3.94,CN,1612675114
239,vizinga,61.0749,50.1031,-14.19,88,100,10.04,RU,1612675114
240,sao filipe,14.8961,-24.4956,69.03,73,28,14.88,CV,1612674953
241,vardo,70.3705,31.1107,25.61,94,100,27.65,NO,1612674661
242,bourail,-21.5667,165.4833,80.2,75,51,5.59,NC,1612675115
243,inuvik,68.3499,-133.7218,-11.2,84,100,10.36,CA,1612675116
244,port elizabeth,-33.918,25.5701,69.8,78,0,18.41,ZA,1612674825
245,san felipe,10.3399,-68.7425,70.93,89,100,5.57,VE,1612675116
246,jiaojiang,28.6803,121.4428,73.0,65,70,1.99,CN,1612675117
247,kaspiysk,42.8816,47.6392,37.4,87,40,15.66,RU,1612675117
248,camana,-16.6228,-72.7111,70.56,83,100,7.23,PE,1612675118
249,tura,25.5198,90.2201,72.64,36,100,3.31,IN,1612674927
250,pinos,22.3,-101.5667,57.2,38,20,3.44,MX,1612675118
251,san jose de guanipa,8.8872,-64.1651,74.21,78,98,14.83,VE,1612675118
252,yaring,6.8662,101.3689,87.8,62,20,11.5,TH,1612675119
253,biltine,14.5333,20.9167,60.49,31,53,15.93,TD,1612675119
254,aykhal,66.0,111.5,-27.36,83,50,8.84,RU,1612675119
255,ati,13.2154,18.3353,59.58,29,56,10.96,TD,1612675120
256,peniche,39.3558,-9.3811,52.0,66,23,8.01,PT,1612674937
257,valparaiso,-33.0393,-71.6273,60.8,82,90,5.75,CL,1612675031
258,tawau,4.2498,117.8871,86.0,74,20,6.91,MY,1612675120
259,vao,-22.6667,167.4833,78.75,82,1,13.2,NC,1612674980
260,kedrovyy,56.1667,91.8167,33.8,69,0,6.71,RU,1612674958
261,bandar-e lengeh,26.5579,54.8807,71.6,73,13,13.8,IR,1612675121
262,muroto,33.2833,134.15,64.4,36,20,9.22,JP,1612674957
263,chicama,-7.8447,-79.1469,72.63,69,100,4.74,PE,1612675122
264,ko samui,9.5357,99.9357,84.2,74,20,14.97,TH,1612675122
265,lavrentiya,65.5833,-171.0,-11.09,78,0,6.93,RU,1612674944
